0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,32,0,0,24,0,74,0,0,0,0,31,36,0,0,0,0,29,0,0,0,8,0,0,0,0,0,82,0,68,0,0,0,0,0,0,0,84,0,76,0,13,0,0,0,67,55,0,69,0,0,0,66,0,0,4,0,77,0,0,59,0,89,0,0,0,0,99,35,0,0,0,0
0,0,0,0,0,0,0,0,9,99,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,18,0,0,40,0,0,54,0,0,0,0,0,0,0,0,19,0,93,50,0,7,0,0,0,0,0,0,47,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,85,0,0,64,0,0,32,0,0,0,0,0,36,0,0,0,0,0,0,0,62,63,0,0,16,82,41,33
0,63,0,0,22,62,33,0,0,0,13,0,19,50,80,0,0,0,0,0,0,0,45,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,60,0,59,0,0,0,0,0,29,0,39,0,0,0,0,0,58,0,0,24,88,0,0,0,0,0,0,51,44,18,0,28,0,0,0,0,0,0,0,0,66,0,0,0,0,47,0,0,0,49,0,98,0,0
91,0,30,0,0,0,71,0,0,64,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,0,67,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,94,39,0,0,0,0,0,0,72,0,0,56,24,0,36,0,74,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,18,0,96,0,0,0
48,0,0,21,0,0,65,97,0,39,34,88,36,0,58,56,0,0,92,0,0,23,47,0,3,17,0,98,0,0,94,0,0,99,0,0,0,35,53,75,55,37,0,0,66,0,0,0,0,69,0,77,25,1,0,0,0,0,0,60,0,0,0,30,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,96,44,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
0,0,52,0,0,0,0,0,81,0,87,91,27,20,0,0,0,0,32,0,0,0,76,84,0,0,0,86,7,0,0,3,0,0,0,0,0,49,98,23,0,44,0,96,0,0,0,28,0,18,0,0,0,0,66,0,0,0,0,6,0,0,0,0,94,57,45,0,0,35,0,0,0,0,48,39,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,88,0,0,74,0,0,0,0,0
0,0,66,67,2,12,0,54,0,0,0,45,75,0,0,94,0,0,0,0,0,36,0,0,0,74,0,31,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,16,82,0,33,62,0,0,0,0,0,0,73,40,0,0,0,0,17,0,61,0,10,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,27,0,0,20,0,32,0
76,0,86,0,0,0,0,0,0,0,12,0,0,54,2,0,0,0,0,0,0,70,48,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,85,0,0,0,71,0,79,0,58,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,44,0,0,0,0,0,49,0,0,0,0,0,83,0,57,0,0,0,75,0,0,0,11,0,0,0,0,77,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,74,0,44,0,0,0,0,0,0,0,18,0,0,0,0,0,0,89,0,0,59,0,0,0,0,0,72,0,21,0,70,0,0,0,0,0,0,0,0,0,0,0,0,91,20,0,0,0,0,0,0,0,0,22,0,33,0,0,0,0,43,84,0,0,0,0,15,80,0,7,0,0,0,0,0,23,0,0,61,0,49,0,37,0,0,69,0,0,0,14,6
0,0,98,0,61,0,10,0,0,0,0,25,0,0,0,60,0,0,0,0,0,0,0,33,0,0,0,82,0,22,0,0,0,0,95,0,0,0,73,0,0,0,0,24,0,0,0,34,58,0,80,0,0,0,86,0,0,0,0,84,69,0,2,0,0,0,0,0,12,67,0,57,35,75,0,0,5,0,0,53,20,0,0,71,0,0,0,0,0,0,0,48,0,0,0,21,0,0,0,0
0,79,87,0,0,43,0,64,0,0,0,0,22,68,0,50,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,85,25,0,0,0,0,0,17,0,98,0,0,0,23,72,0,0,0,11,0,0,0,45,0,0,0,92,0,0,39,65,0,0,0,0,0,0,58,0,36,0,0,31,0,15,0,19,0,0,86,0,0,67,0,0,78,0,95,51,0,0,0,73,3
10,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,13,86,0,0,0,0,0,0,0,0,57,0,6,0,35,37,97,99,0,0,0,75,0,21,0,0,0,0,0,0,0,30,0,41,0,0,0,0,0,0,70,0,0,0,0,24
0,0,0,0,92,100,24,0,0,70,0,0,0,0,0,0,0,0,0,36,0,61,0,0,0,0,47,46,0,81,97,0,94,0,72,0,0,0,11,0,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,30,43,91,0,0,0,22,0,63,7,0,82,62,0,0,0,0,0,73,0,83,0,0,0,0,67,80,0,0,15,13,0,54
