0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,9,1,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13
7,0,15,0,0,0,6,13,0,0,0,0,0,0,0,0
9,0,0,15,0,13,16,0,0,0,0,10,0,0,0,0
0,12,0,10,0,0,0,0,0,15,0,0,0,1,7,0
0,0,16,7,0,8,0,9,0,0,0,0,0,15,0,4
0,0,0,1,6,0,0,0,0,0,8,0,0,5,0,0
0,0,0,5,0,0,0,2,0,0,0,0,0,0,8,0
11,8,0,0,10,0,5,14,7,9,0,0,16,0,0,0
15,0,9,0,3,0,0,8,0,0,1,0,0,2,12,0
10,0,7,13,0,0,15,0,12,0,0,0,4,3,14,0
0,15,12,3,5,16,0,0,9,0,0,0,0,0,4,0
2,0,0,0,7,9,0,0,4,0,0,0,1,0,11,5
0,13,0,9,14,2,12,0,15,0,6,5,0,10,0,3
0,7,0,0,13,4,0,6,0,0,0,8,12,9,15,2
