0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,25,17,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,1,0,8,0,15,0,0,0,16,0
13,0,0,0,0,0,0,0,21,0,0,0,0,1,17,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,24,0,21,0,0,15,0,0,0,0
0,0,0,16,15,18,0,0,19,0,0,12,25,0,0,23,0,0,0,0,22,0,0,0,1
24,17,0,25,0,22,4,0,0,0,23,0,0,2,20,0,0,0,15,0,0,0,19,0,6
0,0,16,0,9,14,0,18,0,0,0,0,0,3,0,0,23,0,0,0,4,0,1,0,0
0,0,0,22,0,5,16,6,0,0,0,0,0,0,4,11,0,0,25,0,0,0,0,0,0
0,0,0,14,4,7,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,21,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,9,3,0,4,0,23,0,13,21,0,15,0,0,0,0,0,0,7,0
0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0
22,21,3,0,0,24,0,0,0,16,0,7,0,15,0,0,0,0,0,0,0,12,0,0,0
0,0,0,0,0,20,15,0,7,25,0,0,0,0,10,0,16,0,0,0,0,0,0,0,0
0,0,0,19,0,0,0,0,0,13,0,22,0,5,0,0,12,0,21,0,0,9,15,0,0
0,22,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
0,0,24,0,0,0,22,0,4,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0,0,0,9,24,16,0,0,0,0,2,0,0,5,18
0,20,0,8,0,0,0,1,0,0,0,14,0,0,5,12,21,0,0,0,0,15,9,25,0
0,15,0,0,0,0,0,10,8,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,17,0,0,0,0,0,0,0,13,21,0,0,10,0,0,0,0,0,0,0,0
0,0,15,0,7,0,0,14,0,0,3,0,0,0,0,5,17,0,0,0,21,0,0,0,0
0,0,0,0,0,0,23,0,6,0,0,4,0,0,7,0,0,0,0,0,0,0,20,0,0
0,0,0,0,0,0,21,0,0,0,0,0,24,10,0,0,3,0,0,0,0,5,0,0,0
0,0,20,0,0,13,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,0,3,0,0
