0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,15
5,13,0,0,0,16,0,4,8,0,0,0,0,0,0,0
0,0,0,0,0,15,0,12,0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
16,0,10,0,0,0,0,0,7,0,0,0,5,0,0,0
0,0,0,0,0,6,0,2,10,0,0,11,14,0,0,0
2,0,0,0,0,7,0,0,0,16,0,8,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0
0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0
0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0
13,0,0,0,0,0,9,0,15,0,0,0,12,0,0,0
0,5,0,0,0,8,13,0,0,0,0,0,0,0,15,16
0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,5
0,11,0,0,12,2,3,16,0,5,0,0,1,9,0,0
0,16,15,0,10,9,0,0,11,6,1,0,3,0,0,0
