0,0,0,0,0,0,0,10,6,0,0,0,0,1,0,0
12,0,0,0,0,0,0,0,2,0,0,9,11,0,0,0
0,0,11,0,0,0,0,0,0,0,0,0,14,0,16,0
0,0,0,0,0,8,15,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,4,0,0,3,11,0,0,0,0,0,0
16,6,0,0,0,0,12,11,0,7,0,13,2,0,0,0
0,4,0,0,0,0,0,0,0,0,0,6,16,0,12,0
0,0,0,11,0,15,0,12,0,0,0,0,0,0,0,0
0,12,0,0,0,0,3,0,16,2,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,13,15,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,11,7,0
0,0,0,0,0,0,0,4,0,9,0,1,3,7,0,14
0,13,0,0,0,12,0,1,0,0,0,0,4,0,0,0
0,0,3,9,13,0,10,0,8,0,0,0,0,16,6,12
0,0,0,15,0,0,0,0,13,3,0,0,0,0,0,0
